id	filename	md5	size	state
05d876a6-45a6-4cec-abfc-1fc9486dc4b4	7ffecc62-22a9-43fc-827f-151ebb62bc81.htseq.counts.gz	74c8be458161f20c8b4c471a35b9d7d4	256464	validated
07f5638f-13f4-4781-842b-193027d57fa1	376b5370-e44b-47fa-b878-b48d6899e7a5.htseq.counts.gz	340057682ea8fd7ff2e96948cde4d363	255418	validated
09aaceb1-ebe6-40ae-b094-44c809f2bd99	fd41f518-30f1-48fa-98c6-50562381e662.htseq.counts.gz	1ff1453cb4521e16b2cfc46069eeb0ff	253957	validated
0aa7c232-98e9-411e-a5a3-77dc841ce743	a05ad788-3f8e-4b01-9ddd-fd6643efc4c7.htseq.counts.gz	0e2d7aef5a03d07272e0715f5388471e	251629	validated
17167cb6-6fb5-46a8-b0ab-81818197ef81	e749c448-20fb-4732-b8ee-c74177485245.htseq.counts.gz	b57063262064ac511f594f67842cf0a5	256354	validated
1a1156c4-262f-4bf3-90a4-3ecceb290b0d	97456616-34c1-4af3-9cb1-560d83cab0c5.htseq.counts.gz	3295d267e1ef36cf2a05577463dd3e93	251888	validated
1aab1d57-ee85-4fdd-b857-b6f5a1a0b4e0	83d5c605-b415-4743-b4ec-e8a376b93250.htseq.counts.gz	685d08e870dddbae81d4dcd10a4ced59	251899	validated
1af6dc6c-abcf-4ba2-b530-6c0ba7aeefc4	362cf7cd-7408-43ba-8295-a6c72106170f.htseq.counts.gz	d8dea6647c8f7be8cde5ebb068e7dabe	248891	validated
2090055a-ea02-42c5-b6cd-21bf980c4700	061086d5-2a01-444b-83ac-f1397b184307.htseq.counts.gz	a3273a7296c87b20953bcc033bef1bad	253827	validated
2d012875-d00f-4fb0-9dcc-93b4d1380ab1	0b38743f-1a39-4653-8d59-02906a3316e1.htseq.counts.gz	ebe231c040856dcd34572359e3e62fb9	255255	validated
33120866-dff5-41a1-b01f-195c1eb714ca	c108fd9d-d117-41fb-9b5d-5eff76751837.htseq.counts.gz	96846df732c76aa95fdad889155b40ae	241843	validated
33a08ed2-be8f-4326-80ea-daa78a85ff24	84c8bf6a-73b4-4c31-b45a-842490f8662b.htseq.counts.gz	b69e002c5cadb76fc17d688f0ebc3fab	251560	validated
3d48da99-164b-472c-b829-51d585c6d380	13918b1d-75f3-4195-83f2-cf64ab4359b9.htseq.counts.gz	320960cb23506011ed407ac484a046b5	249845	validated
3e907410-03b1-4ec8-9c14-4dfce21a66a6	b4436726-df11-410d-862e-aa54105a8c3e.htseq.counts.gz	859ec7e94c5e43fa4aeee86effb2b894	253991	validated
42834b56-a059-4734-a00d-7d81da95d677	3472dc3a-cd09-4d60-b5b3-6f4537e868ee.htseq.counts.gz	ee3ea6616525fdb154422627d728cc3d	245451	validated
43c07185-ae57-4880-a91b-6ce1c171151b	ece0fe94-ea0b-4d38-bd30-a6bf9c1f3367.htseq.counts.gz	158b5234b02668dcf88f93ab25b83996	253555	validated
